"Gene","Cancer","TDL","IDG_Status","Kinase_score_percent","rank","Kinase_Type","Kinase_Group","Kinase_Family","Kinase_protein","MOA"
"AK2","THCA","Tbio","Studied",0,24,"Non-protein kinase","nucleoside/nucleotide kinase","Adenylate kinase family","adenylate kinase 2, mitochondrial","no"
"AK3","THCA","Tbio","Studied",4.76190476190476,22,"Non-protein kinase","nucleoside/nucleotide kinase","Adenylate kinase family","GTP:AMP phosphotransferase AK3, mitochondrial","no"
"AK4","THCA","Tbio","Studied",16.6666666666667,16,"Non-protein kinase","nucleoside/nucleotide kinase","ADK family","adenylate kinase 4, mitochondrial","no"
"AK5","THCA","Tbio","Studied",16.6666666666667,16,"Non-protein kinase","nucleoside/nucleotide kinase","ADK family","adenylate kinase 5, mitochondrial","no"
"AK6","THCA","Tbio","Studied",0,24,"Non-protein kinase","nucleoside/nucleotide kinase","ADK family","adenylate kinase 6, mitochondrial","no"
"AK8","THCA","Tbio","Studied",9.52380952380952,20,"Non-protein kinase","nucleoside/nucleotide kinase","ADK family","adenylate kinase 8, mitochondrial","no"
"AK9","THCA","Tbio","Studied",0,24,"Non-protein kinase","nucleoside/nucleotide kinase","ADK family","adenylate kinase 9, mitochondrial","no"
"AKT1","THCA","Tchem","Studied",14.2857142857143,17,"protein kinase","AGC group","AKT family","RAC-alpha serine/threonine-protein kinase","no"
"AKT2","THCA","Tchem","Studied",7.14285714285714,21,"protein kinase","AGC group","AKT family","RAC-beta serine/threonine-protein kinase","no"
"AKT3","THCA","Tchem","Studied",14.2857142857143,17,"protein kinase","AGC group","AKT family","RAC-gamma serine/threonine-protein kinase","no"
"ALK","THCA","Tclin","Studied",14.2857142857143,17,"protein kinase","TK group","ALK family","alk tyrosine kinase receptor","yes"
"ALPK1","THCA","Tbio","Studied",14.2857142857143,17,"protein kinase","Atypical group","Alpha family","alpha-protein kinase 1","no"
"ALPK2","THCA","Tbio","Understudied",14.2857142857143,17,"protein kinase","Atypical group","Alpha family","alpha-protein kinase 2","no"
"ALPK3","THCA","Tdark","Understudied",0,24,"protein kinase","Atypical group","Alpha family","alpha-protein kinase 3","no"
"AMHR2","THCA","Tbio","Studied",0,24,"protein kinase","TKL group","STKR family","anti-muellerian hormone type-2 receptor","no"
"ANKK1","THCA","Tbio","Studied",2.38095238095238,23,"protein kinase","TKL group","RIPK family","ankyrin repeat and protein kinase domain-containing protein 1","no"
"ARAF","THCA","Tchem","Studied",0,24,"protein kinase","TKL group","RAF family","serine/threonine-protein kinase a-raf","no"
"ATM","THCA","Tchem","Studied",19.047619047619,15,"protein kinase","Atypical group","PIKK family","serine-protein kinase atm","no"
"ATR","THCA","Tchem","Studied",4.76190476190476,22,"protein kinase","Atypical group","PIKK family","serine/threonine-protein kinase atr","no"
"AURKA","THCA","Tchem","Studied",0,24,"protein kinase","other group","AUR family","aurora kinase a","no"
"AURKB","THCA","Tchem","Studied",14.2857142857143,17,"protein kinase","other group","AUR family","aurora kinase b","no"
"AURKC","THCA","Tchem","Studied",0,24,"protein kinase","other group","AUR family","aurora kinase c","no"
"AXL","THCA","Tchem","Studied",16.6666666666667,16,"protein kinase","TK group","AXL family","tyrosine-protein kinase receptor ufo","no"
"BCKDK","THCA","Tbio","Understudied",0,24,"protein kinase","Atypical group","PDHK family","[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial","no"
"BLK","THCA","Tchem","Studied",0,24,"protein kinase","TK group","SRC family","tyrosine-protein kinase blk","no"
"BMP2K","THCA","Tchem","Studied",0,24,"protein kinase","other group","NAK family","BMP-2-inducible protein kinase","no"
"BMPR1A","THCA","Tchem","Studied",7.14285714285714,21,"protein kinase","TKL group","STKR family","bone morphogenetic protein receptor type-1a","no"
"BMPR1B","THCA","Tchem","Studied",16.6666666666667,16,"protein kinase","TKL group","STKR family","bone morphogenetic protein receptor type-1b","no"
"BMPR2","THCA","Tchem","Studied",0,24,"protein kinase","TKL group","STKR family","bone morphogenetic protein receptor type-2","no"
"BMX","THCA","Tchem","Studied",0,24,"protein kinase","TK group","TEC family","cytoplasmic tyrosine-protein kinase bmx","no"
"BRAF","THCA","Tclin","Studied",14.2857142857143,17,"protein kinase","TKL group","RAF family","serine/threonine-protein kinase b-raf","yes"
"BRSK1","THCA","Tchem","Understudied",28.5714285714286,11,"protein kinase","CAMK group","CAMKL family","serine/threonine-protein kinase brsk1","no"
"BRSK2","THCA","Tchem","Understudied",0,24,"protein kinase","CAMK group","CAMKL family","serine/threonine-protein kinase brsk2","no"
"BTK","THCA","Tclin","Studied",16.6666666666667,16,"protein kinase","TK group","TEC family","tyrosine-protein kinase btk","yes"
"BUB1","THCA","Tchem","Studied",21.4285714285714,14,"protein kinase","other group","BUB family","mitotic checkpoint serine/threonine-protein kinase bub1","no"
"BUB1B","THCA","Tbio","Studied",0,24,"protein kinase","other group","BUB family","mitotic checkpoint serine/threonine-protein kinase bub1 beta","no"
"CAMK1","THCA","Tchem","Studied",0,24,"protein kinase","CAMK group","CAMK1 family","calcium/calmodulin-dependent protein kinase type 1","no"
"CAMK1D","THCA","Tchem","Understudied",7.14285714285714,21,"protein kinase","CAMK group","CAMK1 family","calcium/calmodulin-dependent protein kinase type 1d","no"
"CAMK1G","THCA","Tchem","Understudied",14.2857142857143,17,"protein kinase","CAMK group","CAMK1 family","calcium/calmodulin-dependent protein kinase type 1g","no"
"CAMK2A","THCA","Tchem","Studied",14.2857142857143,17,"protein kinase","CAMK group","CAMK2 family","calcium/calmodulin-dependent protein kinase type ii subunit alpha","no"
"CAMK2B","THCA","Tchem","Studied",0,24,"protein kinase","CAMK group","CAMK2 family","calcium/calmodulin-dependent protein kinase type ii subunit beta","no"
"CAMK2D","THCA","Tchem","Studied",14.2857142857143,17,"protein kinase","CAMK group","CAMK2 family","calcium/calmodulin-dependent protein kinase type ii subunit delta","no"
"CAMK2G","THCA","Tchem","Studied",4.76190476190476,22,"protein kinase","CAMK group","CAMK2 family","calcium/calmodulin-dependent protein kinase type ii subunit gamma","no"
"CAMK4","THCA","Tbio","Studied",16.6666666666667,16,"protein kinase","CAMK group","CAMK1 family","calcium/calmodulin-dependent protein kinase type iv","no"
"CAMKK1","THCA","Tchem","Understudied",0,24,"protein kinase","other group","CAMKK family","calcium/calmodulin-dependent protein kinase kinase 1","no"
"CAMKK2","THCA","Tchem","Studied",0,24,"protein kinase","other group","CAMKK family","calcium/calmodulin-dependent protein kinase kinase 2","no"
"CAMKV","THCA","Tbio","Understudied",19.047619047619,15,"protein kinase","CAMK group","CAMK-UNIQUE family","CAM kinase-like vesicle-associated protein","no"
"CASK","THCA","Tchem","Studied",0,24,"protein kinase","CAMK group","CASK family","peripheral plasma membrane protein cask","no"
"CDC42BPA","THCA","Tchem","Understudied",0,24,"protein kinase","AGC group","DMPK family","serine/threonine-protein kinase mrck alpha","no"
"CDC42BPB","THCA","Tbio","Understudied",0,24,"protein kinase","AGC group","DMPK family","serine/threonine-protein kinase mrck beta","no"
"CDC42BPG","THCA","Tbio","Understudied",28.5714285714286,11,"protein kinase","AGC group","DMPK family","serine/threonine-protein kinase mrck gamma","no"
"CDC7","THCA","Tchem","Studied",0,24,"protein kinase","other group","CDC7 family","cell division cycle 7-related protein kinase","no"
"CDK1","THCA","Tchem","Studied",0,24,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 1","no"
"CDK10","THCA","Tbio","Understudied",0,24,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 10","no"
"CDK11A","THCA","Tchem","Understudied",14.2857142857143,17,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 11a","no"
"CDK11B","THCA","Tchem","Understudied",0,24,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 11b","no"
"CDK12","THCA","Tchem","Understudied",0,24,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 12","no"
"CDK13","THCA","Tchem","Understudied",4.76190476190476,22,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 13","no"
"CDK14","THCA","Tchem","Understudied",0,24,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 14","no"
"CDK15","THCA","Tchem","Understudied",9.52380952380952,20,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 15","no"
"CDK16","THCA","Tchem","Understudied",0,24,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 16","no"
"CDK17","THCA","Tchem","Understudied",16.6666666666667,16,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 17","no"
"CDK18","THCA","Tchem","Understudied",14.2857142857143,17,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 18","no"
"CDK19","THCA","Tchem","Understudied",14.2857142857143,17,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 19","no"
"CDK2","THCA","Tchem","Studied",14.2857142857143,17,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 2","no"
"CDK20","THCA","Tbio","Understudied",2.38095238095238,23,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 20","no"
"CDK3","THCA","Tchem","Studied",14.2857142857143,17,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 3","no"
"CDK4","THCA","Tclin","Studied",0,24,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 4","no"
"CDK5","THCA","Tchem","Studied",2.38095238095238,23,"protein kinase","CMGC group","CDK family","cyclin-dependent-like kinase 5","no"
"CDK6","THCA","Tclin","Studied",7.14285714285714,21,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 6","no"
"CDK7","THCA","Tchem","Studied",14.2857142857143,17,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 7","no"
"CDK8","THCA","Tchem","Studied",0,24,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 8","no"
"CDK9","THCA","Tchem","Studied",28.5714285714286,11,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 9","no"
"CDKL1","THCA","Tchem","Understudied",2.38095238095238,23,"protein kinase","CMGC group","CDKL family","cyclin-dependent kinase-like 1","no"
"CDKL2","THCA","Tchem","Understudied",0,24,"protein kinase","CMGC group","CDKL family","cyclin-dependent kinase-like 2","no"
"CDKL3","THCA","Tchem","Understudied",2.38095238095238,23,"protein kinase","CMGC group","CDKL family","cyclin-dependent kinase-like 3","no"
"CDKL4","THCA","Tdark","Understudied",0,24,"protein kinase","CMGC group","CDKL family","cyclin-dependent kinase-like 4","no"
"CDKL5","THCA","Tchem","Studied",0,24,"protein kinase","CMGC group","CDKL family","cyclin-dependent kinase-like 5","no"
"CERK","THCA","Tchem","Studied",7.14285714285714,21,"Non-protein kinase","lipid kinase","","ceramide kinase","no"
"CHEK1","THCA","Tchem","Studied",0,24,"protein kinase","CAMK group","CAMKL family","serine/threonine-protein kinase chk1","no"
"CHEK2","THCA","Tchem","Studied",14.2857142857143,17,"protein kinase","CAMK group","RAD53 family","serine/threonine-protein kinase chk2","no"
"CHKA","THCA","Tchem","Studied",19.047619047619,15,"Non-protein kinase","other small molecule kinase","Choline/ethanolamine kinase family","choline kinase alpha","no"
"CHKB","THCA","Tbio","Studied",0,24,"Non-protein kinase","other small molecule kinase","Choline/ethanolamine kinase family","choline/ethanolamine kinase","no"
"CHUK","THCA","Tchem","Studied",0,24,"protein kinase","other group","IKK family","inhibitor of nuclear factor kappa-b kinase subunit alpha","no"
"CIT","THCA","Tchem","Studied",0,24,"protein kinase","AGC group","DMPK family","citron rho-interacting kinase","no"
"CKB","THCA","Tbio","Studied",2.38095238095238,23,"Non-protein kinase","nucleoside/nucleotide kinase","ATP: guanidophosphotransferase","creatine kinase B-type","no"
"CKM","THCA","Tbio","Studied",0,24,"Non-protein kinase","other small molecule kinase","ATP:guanido phosphotransferase family","creatine kinase m-type","no"
"CKMT1A","THCA","Tbio","Studied",7.14285714285714,21,"Non-protein kinase","nucleoside/nucleotide kinase","ATP:guanidophosphotransferase","creatine kinase U-type, mitochondrial","no"
"CKMT2","THCA","Tbio","Studied",7.14285714285714,21,"Non-protein kinase","nucleoside/nucleotide kinase","ATP: guanidophosphotransferase","creatine kinase S-type, mitochondrial","no"
"CLK1","THCA","Tchem","Studied",16.6666666666667,16,"protein kinase","CMGC group","CLK family","dual specificity protein kinase clk1","no"
"CLK2","THCA","Tchem","Studied",28.5714285714286,11,"protein kinase","CMGC group","CLK family","dual specificity protein kinase clk2","no"
"CLK3","THCA","Tchem","Understudied",0,24,"protein kinase","CMGC group","CLK family","dual specificity protein kinase clk3","no"
"CLK4","THCA","Tchem","Understudied",0,24,"protein kinase","CMGC group","CLK family","dual specificity protein kinase clk4","no"
"CMPK1","THCA","Tbio","Studied",0,24,"Non-protein kinase","nucleoside/nucleotide kinase","ADK family","UMP-CMP kinase","no"
"CMPK2","THCA","Tbio","Studied",0,24,"Non-protein kinase","nucleoside/nucleotide kinase","thymidylate kinase family","UMP-CMP kinase","no"
"COQ8A","THCA","Tbio","Understudied",0,24,"protein kinase","Atypical group","ABC1 family","atypical kinase COQ8A, mitochondrial","no"
"COQ8B","THCA","Tchem","Understudied",0,24,"protein kinase","Atypical group","ABC1 family","atypical kinase COQ8B, mitochondrial","no"
"CSF1R","THCA","Tclin","Studied",14.2857142857143,17,"protein kinase","TK group","PDGFR family","macrophage colony-stimulating factor 1 receptor","yes"
"CSK","THCA","Tchem","Studied",0,24,"protein kinase","TK group","CSK family","tyrosine-protein kinase csk","no"
"CSNK1A1","THCA","Tchem","Studied",0,24,"protein kinase","CK1 group","CK1 family","casein kinase i isoform alpha","no"
"CSNK1A1L","THCA","Tdark","Understudied",0,24,"protein kinase","CK1 group","CK1 family","casein kinase i isoform alpha-like","no"
"CSNK1D","THCA","Tchem","Studied",2.38095238095238,23,"protein kinase","CK1 group","CK1 family","casein kinase i isoform delta","no"
"CSNK1E","THCA","Tchem","Studied",14.2857142857143,17,"protein kinase","CK1 group","CK1 family","casein kinase i isoform epsilon","no"
"CSNK1G1","THCA","Tchem","Understudied",7.14285714285714,21,"protein kinase","CK1 group","CK1 family","casein kinase i isoform gamma-1","no"
"CSNK1G2","THCA","Tchem","Understudied",0,24,"protein kinase","CK1 group","CK1 family","casein kinase i isoform gamma-2","no"
"CSNK1G3","THCA","Tbio","Understudied",4.76190476190476,22,"protein kinase","CK1 group","CK1 family","casein kinase i isoform gamma-3","no"
"CSNK2A1","THCA","Tchem","Studied",0,24,"protein kinase","CMGC group","CK2 family","casein kinase ii subunit alpha","no"
"CSNK2A2","THCA","Tchem","Studied",0,24,"protein kinase","CMGC group","CK2 family","casein kinase ii subunit alpha","no"
"CSNK2A3","THCA","Tdark","Understudied",0,24,"protein kinase","CMGC group","CK2 family","casein kinase ii subunit alpha 3","no"
"CSNK2B","THCA","Tbio","Studied",0,24,"protein kinase","CMGC group","CK2 family","casein kinase ii subunit beta","no"
"DAPK1","THCA","Tchem","Studied",2.38095238095238,23,"protein kinase","CAMK group","DAPK family","death-associated protein kinase 1","no"
"DAPK2","THCA","Tchem","Studied",28.5714285714286,11,"protein kinase","CAMK group","DAPK family","death-associated protein kinase 2","no"
"DAPK3","THCA","Tchem","Studied",0,24,"protein kinase","CAMK group","DAPK family","death-associated protein kinase 3","no"
"DCK","THCA","Tchem","Studied",14.2857142857143,17,"Non-protein kinase","nucleoside/nucleotide kinase","DCK/DGK family","deoxycytidine kinase","no"
"DCLK1","THCA","Tchem","Studied",16.6666666666667,16,"protein kinase","CAMK group","DCAMKL family","serine/threonine-protein kinase dclk1","no"
"DCLK2","THCA","Tchem","Studied",7.14285714285714,21,"protein kinase","CAMK group","DCAMKL family","serine/threonine-protein kinase dclk2","no"
"DCLK3","THCA","Tchem","Understudied",26.1904761904762,12,"protein kinase","CAMK group","DCAMKL family","serine/threonine-protein kinase dclk3","no"
"DDR1","THCA","Tchem","Studied",14.2857142857143,17,"protein kinase","TK group","DDR family","epithelial discoidin domain-containing receptor 1","no"
"DDR2","THCA","Tchem","Studied",4.76190476190476,22,"protein kinase","TK group","DDR family","discoidin domain-containing receptor 2","no"
"DGKA","THCA","Tbio","Studied",19.047619047619,15,"Non-protein kinase","lipid kinase","Diacylglycerol kinase family","diacylglycerol kinase alpha","no"
"DGKH","THCA","Tbio","Studied",14.2857142857143,17,"Non-protein kinase","lipid kinase","Diacylglycerol kinase family","diacylglycerol kinase eta","no"
"DGKQ","THCA","Tbio","Studied",0,24,"Non-protein kinase","lipid kinase","Diacylglycerol kinase family","diacylglycerol kinase theta","no"
"DGUOK","THCA","Tbio","Studied",14.2857142857143,17,"Non-protein kinase","nucleoside/nucleotide kinase","DCK/DGK family","deoxyguanosine kinase, mitochondrial","no"
"DMPK","THCA","Tchem","Studied",0,24,"protein kinase","AGC group","DMPK family","myotonin-protein kinase","no"
"DSTYK","THCA","Tchem","Understudied",0,24,"protein kinase","other group","SGK496 family","dual serine/threonine and tyrosine protein kinase","no"
"DTYMK","THCA","Tbio","Studied",0,24,"Non-protein kinase","nucleoside/nucleotide kinase","Thymidylate kinase family","thymidylate kinase","no"
"DYRK1A","THCA","Tchem","Studied",4.76190476190476,22,"protein kinase","CMGC group","DYRK family","dual specificity tyrosine-phosphorylation-regulated kinase 1a","no"
"DYRK1B","THCA","Tchem","Understudied",14.2857142857143,17,"protein kinase","CMGC group","DYRK family","dual specificity tyrosine-phosphorylation-regulated kinase 1b","no"
"DYRK2","THCA","Tchem","Understudied",0,24,"protein kinase","CMGC group","DYRK family","dual specificity tyrosine-phosphorylation-regulated kinase 2","no"
"DYRK3","THCA","Tchem","Understudied",9.52380952380952,20,"protein kinase","CMGC group","DYRK family","dual specificity tyrosine-phosphorylation-regulated kinase 3","no"
"DYRK4","THCA","Tchem","Understudied",4.76190476190476,22,"protein kinase","CMGC group","DYRK family","dual specificity tyrosine-phosphorylation-regulated kinase 4","no"
"EEF2K","THCA","Tchem","Understudied",0,24,"protein kinase","Atypical group","Alpha family","eukaryotic elongation factor 2 kinase","no"
"EFNA1","THCA","Tbio","Studied",14.2857142857143,17,"protein kinase","TK group","Eph family","ephrin-a1","no"
"EGFR","THCA","Tclin","Studied",0,24,"protein kinase","TK group","EGFR family","epidermal growth factor receptor","yes"
"EIF2AK1","THCA","Tchem","Studied",2.38095238095238,23,"protein kinase","other group","PEK family","eukaryotic translation initiation factor 2-alpha kinase 1","no"
"EIF2AK2","THCA","Tchem","Studied",0,24,"protein kinase","other group","PEK family","interferon-induced, double-stranded rna-activated protein kinase","no"
"EIF2AK3","THCA","Tchem","Studied",2.38095238095238,23,"protein kinase","other group","PEK family","eukaryotic translation initiation factor 2-alpha kinase 3","no"
"EIF2AK4","THCA","Tchem","Studied",4.76190476190476,22,"protein kinase","other group","PEK family","eukaryotic translation initiation factor 2-alpha kinase 4","no"
"EPHA1","THCA","Tchem","Studied",14.2857142857143,17,"protein kinase","TK group","Eph family","ephrin type-a receptor 1","no"
"EPHA10","THCA","Tbio","Studied",33.3333333333333,8,"protein kinase","TK group","Eph family","ephrin type-a receptor 10","no"
"EPHA2","THCA","Tclin","Studied",14.2857142857143,17,"protein kinase","TK group","Eph family","ephrin type-a receptor 2","yes"
"EPHA3","THCA","Tchem","Studied",0,24,"protein kinase","TK group","Eph family","ephrin type-a receptor 3","no"
"EPHA4","THCA","Tchem","Studied",30.952380952381,9,"protein kinase","TK group","Eph family","ephrin type-a receptor 4","no"
"EPHA5","THCA","Tchem","Studied",0,24,"protein kinase","TK group","Eph family","ephrin type-a receptor 5","no"
"EPHA6","THCA","Tchem","Studied",7.14285714285714,21,"protein kinase","TK group","Eph family","ephrin type-a receptor 6","no"
"EPHA7","THCA","Tchem","Studied",0,24,"protein kinase","TK group","Eph family","ephrin type-a receptor 7","no"
"EPHA8","THCA","Tchem","Studied",16.6666666666667,16,"protein kinase","TK group","Eph family","ephrin type-a receptor 8","no"
"EPHB1","THCA","Tchem","Studied",7.14285714285714,21,"protein kinase","TK group","Eph family","ephrin type-b receptor 1","no"
"EPHB2","THCA","Tchem","Studied",2.38095238095238,23,"protein kinase","TK group","Eph family","ephrin type-b receptor 2","no"
"EPHB3","THCA","Tchem","Studied",42.8571428571429,2,"protein kinase","TK group","Eph family","ephrin type-b receptor 3","no"
"EPHB4","THCA","Tchem","Studied",0,24,"protein kinase","TK group","Eph family","ephrin type-b receptor 4","no"
"EPHB6","THCA","Tchem","Studied",9.52380952380952,20,"protein kinase","TK group","Eph family","ephrin type-b receptor 6","no"
"ERBB2","THCA","Tclin","Studied",0,24,"protein kinase","TK group","EGFR family","receptor tyrosine-protein kinase erbb-2","yes"
"ERBB3","THCA","Tchem","Studied",40.4761904761905,3,"protein kinase","TK group","EGFR family","receptor tyrosine-protein kinase erbb-3","no"
"ERBB4","THCA","Tclin","Studied",0,24,"protein kinase","TK group","EGFR family","receptor tyrosine-protein kinase erbb-4","yes"
"ERN1","THCA","Tchem","Studied",0,24,"protein kinase","other group","IRE family","serine/threonine-protein kinase/endoribonuclease ire1","no"
"ERN2","THCA","Tbio","Understudied",0,24,"protein kinase","other group","IRE family","serine/threonine-protein kinase/endoribonuclease ire2","no"
"ETNK1","THCA","Tbio","Studied",9.52380952380952,20,"Non-protein kinase","other small molecule kinase","choline/ethanolamine kinase","ethanolamine kinase 1","no"
"ETNK2","THCA","Tdark","Studied",33.3333333333333,8,"Non-protein kinase","other small molecule kinase","choline/ethanolamine kinase","ethanolamine kinase 2","no"
"FASTK","THCA","Tbio","Studied",0,24,"protein kinase","Atypical group","FAST family","Fas-activated serine/threonine kinase","no"
"FER","THCA","Tchem","Studied",0,24,"protein kinase","TK group","FER family","tyrosine-protein kinase fer","no"
"FES","THCA","Tchem","Studied",2.38095238095238,23,"protein kinase","TK group","FER family","tyrosine-protein kinase fes/fps","no"
"FGFR1","THCA","Tclin","Studied",0,24,"protein kinase","TK group","FGFR family","fibroblast growth factor receptor 1","yes"
"FGFR2","THCA","Tclin","Studied",7.14285714285714,21,"protein kinase","TK group","FGFR family","fibroblast growth factor receptor 2","yes"
"FGFR3","THCA","Tclin","Studied",28.5714285714286,11,"protein kinase","TK group","FGFR family","fibroblast growth factor receptor 3","yes"
"FGFR4","THCA","Tclin","Studied",0,24,"protein kinase","TK group","FGFR family","fibroblast growth factor receptor 4","yes"
"FGGY","THCA","Tbio","Studied",2.38095238095238,23,"Non-protein kinase","carbohydrate kinase","FGGY Kinase family","FGGY carbohydrate kinase domain-containing protein","no"
"FGR","THCA","Tchem","Studied",16.6666666666667,16,"protein kinase","TK group","SRC family","tyrosine-protein kinase fgr","no"
"FLT1","THCA","Tclin","Studied",11.9047619047619,19,"protein kinase","TK group","VEGFR family","vascular endothelial growth factor receptor 1","yes"
"FLT3","THCA","Tclin","Studied",16.6666666666667,16,"protein kinase","TK group","PDGFR family","receptor-type tyrosine-protein kinase flt3","yes"
"FLT4","THCA","Tclin","Studied",11.9047619047619,19,"protein kinase","TK group","VEGFR family","vascular endothelial growth factor receptor 3","yes"
"FN3K","THCA","Tbio","Studied",2.38095238095238,23,"Non-protein kinase","other small molecule kinase","frustocamine kinase","fructosamine-3-kinase","no"
"FN3KRP","THCA","Tbio","Studied",0,24,"Non-protein kinase","other small molecule kinase","frustocamine kinase","ketosamine-3-kinase","no"
"FRK","THCA","Tchem","Studied",7.14285714285714,21,"protein kinase","TK group","SRC family","tyrosine-protein kinase frk","no"
"FUK","THCA","Tbio","Studied",0,24,"Non-protein kinase","carbohydrate kinase","GHMP kinase","L-fucose kinase","no"
"FYN","THCA","Tclin","Studied",28.5714285714286,11,"protein kinase","TK group","SRC family","tyrosine-protein kinase fyn","yes"
"GAK","THCA","Tchem","Studied",0,24,"protein kinase","other group","NAK family","cyclin-g-associated kinase","no"
"GALK1","THCA","Tbio","Studied",0,24,"Non-protein kinase","carbohydrate kinase","GHMP kinase","galactokinase","no"
"GALK2","THCA","Tbio","Studied",4.76190476190476,22,"Non-protein kinase","carbohydrate kinase","GHMP kinase","galactokinase","no"
"GCK","THCA","Tchem","Studied",2.38095238095238,23,"Non-protein kinase","carbohydrate kinase","Hexokinase family","glucokinase","no"
"GK","THCA","Tbio","Studied",9.52380952380952,20,"Non-protein kinase","carbohydrate kinase","FGGY kinase family","glycerol kinase","no"
"GK2","THCA","Tdark","Studied",0,24,"Non-protein kinase","other small molecule kinase","FGGY kinase family","glycerol kinase 2","no"
"GK3P","THCA","Tdark","Studied",2.38095238095238,23,"Non-protein kinase","carbohydrate kinase","FGGY kinase family","glycerol kinase 3","no"
"GK5","THCA","Tbio","Studied",0,24,"Non-protein kinase","carbohydrate kinase","FGGY kinase family","putative glycerol kinase 5","no"
"GLYCTK","THCA","Tbio","Studied",0,24,"Non-protein kinase","carbohydrate kinase","glycerate kinase type-2 family","glycerate kinase","no"
"GRK1","THCA","Tchem","Studied",0,24,"protein kinase","AGC group","GRK family","rhodopsin kinase","no"
"GRK2","THCA","Tchem","Studied",0,24,"protein kinase","AGC group","GRK family","beta-adrenergic receptor kinase 1","no"
"GRK3","THCA","Tchem","Studied",4.76190476190476,22,"protein kinase","AGC group","GRK family","beta-adrenergic receptor kinase 2","no"
"GRK4","THCA","Tchem","Studied",14.2857142857143,17,"protein kinase","AGC group","GRK family","G protein-coupled receptor kinase 4","no"
"GRK5","THCA","Tchem","Studied",4.76190476190476,22,"protein kinase","AGC group","GRK family","G protein-coupled receptor kinase 5","no"
"GRK6","THCA","Tchem","Studied",0,24,"protein kinase","AGC group","GRK family","G protein-coupled receptor kinase 6","no"
"GRK7","THCA","Tchem","Studied",0,24,"protein kinase","AGC group","GRK family","G protein-coupled receptor kinase 7","no"
